dataset,eps,intra_ratio,inter_ratio,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,1.5,0.5,0.2,0.23305748606265236,0.8363636363636363,0.0019719462440950315,1.4996126989503915,0.43636363636363634,0.10460447469464487,0.2505098517737634,21880.2
Chamelon,1.5,0.5,0.3,0.22415729387816546,0.8454545454545455,0.0025670344626503266,1.5353191910690742,0.41818181818181815,0.17656025965743014,0.2209094849342553,21073.4
Chamelon,1.5,0.5,0.4,0.22459778171711062,0.8636363636363636,0.0022892119967690963,1.455759941648691,0.49090909090909085,0.1527376619671052,0.2169668994011819,21192.8
Chamelon,1.5,0.5,0.5,0.23376905158224903,0.7727272727272727,0.0033293904506401044,1.3355651271183673,0.4545454545454545,0.18253770137140193,0.19163078488749682,21536.6
Chamelon,1.5,0.5,0.6,0.22465700465298824,0.7818181818181819,0.0046447428582428105,1.5082068208819648,0.5818181818181818,0.19469586945047263,0.18446189683966036,21276.4
Chamelon,1.5,0.5,0.7,0.2160572649111671,0.8090909090909092,0.004950304524364005,1.5503734184474047,0.3636363636363636,0.15798292507914544,0.2132092959847715,21632.8
Chamelon,1.5,0.5,0.8,0.2065602095993094,0.8545454545454545,0.005191762338808335,1.606122774883491,0.3818181818181818,0.17474167106967503,0.24860841534981293,21413.0
Chamelon,1.5,0.5,0.9,0.21599783408980233,0.8,0.004588705947330159,1.5217595093871297,0.32727272727272727,0.18108560353748487,0.1970785268781307,20883.2
Chamelon,1.5,0.5,1.0,0.20975701489398269,0.8636363636363636,0.004534837102042266,1.7561525639737319,0.5454545454545453,0.14294816955256634,0.2699328509155082,21113.8
Chamelon,2,0.1,0.1,0.31731449545991325,0.8909090909090909,0.0017559164503747505,1.3662330179623636,0.2545454545454545,0.10740176467165378,0.13407528384229175,22222.4
Chamelon,2,0.1,0.2,0.29165095197711854,0.8363636363636363,0.0014741280195742607,1.338458948306584,0.19999999999999998,0.128980620522464,0.20173604673030815,21775.8
Chamelon,2,0.1,0.3,0.28850413765708627,0.8545454545454545,0.001593623627677916,1.3167834074100042,0.19999999999999998,0.037087107572903295,0.27799239988115926,23177.8
Chamelon,2,0.1,0.4,0.2966866836599616,0.8818181818181818,0.0012996246314977429,1.2633172344480248,0.27272727272727265,0.07372682714117931,0.23243666743380514,24405.8
Chamelon,2,0.1,0.5,0.26716943065263205,0.8090909090909092,0.004780656438673779,1.3411711731514933,0.1818181818181818,0.11584387301628105,0.33258000873081606,24158.6
Chamelon,2,0.1,0.6,0.275115704756288,0.890909090909091,0.0046039812202907536,1.310753704898909,0.2727272727272727,0.1083130070876829,0.30908358835279665,24446.2
Chamelon,2,0.1,0.7,0.2684168064921085,0.809090909090909,0.005078397041062472,1.279225341021772,0.309090909090909,0.1555701184625108,0.33095833248487916,25160.4
Chamelon,2,0.1,0.8,0.2656888335997582,0.8636363636363636,0.0068362955935981195,1.3999907112435488,0.2545454545454545,0.07293463126360925,0.27368520247493083,23774.0
Chamelon,2,0.1,0.9,0.2658382626615444,0.9,0.0057669824766444205,1.5263281440286427,0.16363636363636364,0.05236468803087267,0.28255374489235335,24106.4
Chamelon,2,0.1,1.0,0.3002279411711216,0.8545454545454545,0.008962185131760614,1.3293545006707292,0.3818181818181817,0.12768229726379146,0.2897658174401938,26769.4
Chamelon,2,0.2,0.1,0.2831849999519204,0.7818181818181819,0.003785095766787533,1.4615904841052512,0.309090909090909,0.10156417075382054,0.253249511037508,22360.4
